epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,189.657,0.34037,0.38161,0.95299,0.998,1,0.995,0.995,0.20357,0.18321,0.8689,0.0002635,0.0002635,0.0002635
88,191.576,0.33732,0.40562,0.94449,0.99793,1,0.995,0.99112,0.19546,0.20013,0.86801,0.00026075,0.00026075,0.00026075
89,193.555,0.29847,0.36329,0.92246,0.99789,1,0.995,0.9905,0.20489,0.19376,0.87529,0.000258,0.000258,0.000258
90,195.51,0.3027,0.37018,0.93786,0.998,1,0.995,0.98862,0.19966,0.17655,0.87346,0.00025525,0.00025525,0.00025525
91,197.36,0.30831,0.36206,0.93047,0.99804,1,0.995,0.98823,0.21295,0.17423,0.87688,0.0002525,0.0002525,0.0002525
92,199.304,0.31453,0.37173,0.93902,0.99803,1,0.995,0.98556,0.21427,0.18919,0.88078,0.00024975,0.00024975,0.00024975
93,201.111,0.30231,0.35321,0.91702,0.99806,1,0.995,0.99085,0.2028,0.17811,0.87357,0.000247,0.000247,0.000247
94,203.357,0.29821,0.36414,0.93247,0.99802,1,0.995,0.98887,0.19,0.17503,0.86568,0.00024425,0.00024425,0.00024425
95,205.46,0.31591,0.37415,0.93331,0.99804,1,0.995,0.98853,0.18552,0.17399,0.86459,0.0002415,0.0002415,0.0002415
96,207.571,0.2911,0.35289,0.92226,0.99802,1,0.995,0.98857,0.2073,0.19414,0.8731,0.00023875,0.00023875,0.00023875
97,210.615,0.32848,0.37382,0.95577,0.99803,1,0.995,0.98176,0.23216,0.20852,0.88565,0.000236,0.000236,0.000236
98,212.967,0.27591,0.33593,0.89498,0.99806,1,0.995,0.98863,0.20433,0.1882,0.87214,0.00023325,0.00023325,0.00023325
99,215.091,0.32005,0.36083,0.94733,0.99799,1,0.995,0.98774,0.20092,0.1797,0.86895,0.0002305,0.0002305,0.0002305
100,216.971,0.32305,0.37697,0.94948,0.99794,1,0.995,0.98743,0.20018,0.18693,0.87092,0.00022775,0.00022775,0.00022775
101,218.866,0.29906,0.35813,0.91892,0.99796,1,0.995,0.99123,0.19567,0.1835,0.87132,0.000225,0.000225,0.000225
102,220.691,0.30631,0.36483,0.94117,0.99796,1,0.995,0.9899,0.20443,0.1799,0.87458,0.00022225,0.00022225,0.00022225
103,224.192,0.33093,0.38731,0.97044,0.998,1,0.995,0.995,0.19992,0.17866,0.87413,0.0002195,0.0002195,0.0002195
104,226.012,0.3108,0.36725,0.92259,0.99804,1,0.995,0.995,0.19567,0.16219,0.87527,0.00021675,0.00021675,0.00021675
105,227.779,0.31623,0.36162,0.92563,0.99801,1,0.995,0.98956,0.20797,0.1899,0.87857,0.000214,0.000214,0.000214
106,229.648,0.29551,0.3469,0.92426,0.99802,1,0.995,0.995,0.19034,0.1661,0.86779,0.00021125,0.00021125,0.00021125
107,231.487,0.26169,0.33735,0.9056,0.99804,1,0.995,0.995,0.18447,0.14937,0.86033,0.0002085,0.0002085,0.0002085
