epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,147.157,0.37193,0.3872,0.97201,0.99789,1,0.995,0.99187,0.22453,0.22405,0.88019,0.00046474,0.00046474,0.00046474
80,148.924,0.3834,0.40309,0.96325,0.99782,1,0.995,0.98002,0.2351,0.23829,0.89096,0.000464288,0.000464288,0.000464288
81,150.885,0.36353,0.39008,0.93435,0.99787,1,0.995,0.9828,0.22361,0.23638,0.88323,0.000463836,0.000463836,0.000463836
82,153.046,0.35735,0.39223,0.95943,0.99791,1,0.995,0.98902,0.21537,0.20407,0.88183,0.000463384,0.000463384,0.000463384
83,154.797,0.34629,0.38022,0.9447,0.99798,1,0.995,0.98121,0.2258,0.20891,0.8885,0.000462932,0.000462932,0.000462932
84,156.593,0.34605,0.38276,0.94961,0.99807,1,0.995,0.96896,0.27701,0.23643,0.9224,0.000462479,0.000462479,0.000462479
85,158.349,0.39027,0.39893,0.98158,0.99802,1,0.995,0.99217,0.21905,0.20022,0.8864,0.000462027,0.000462027,0.000462027
86,160.13,0.34786,0.37824,0.96175,0.99791,1,0.995,0.98823,0.22502,0.21601,0.88225,0.000461575,0.000461575,0.000461575
87,163.577,0.38407,0.38214,0.98332,0.99786,1,0.995,0.96696,0.2251,0.23095,0.88388,0.000461123,0.000461123,0.000461123
88,165.479,0.3405,0.37445,0.95165,0.99765,1,0.995,0.98484,0.21381,0.21416,0.8855,0.000460671,0.000460671,0.000460671
89,167.263,0.30537,0.33354,0.92718,0.99788,1,0.995,0.98586,0.21847,0.19711,0.87909,0.000460219,0.000460219,0.000460219
90,168.975,0.33787,0.35962,0.95118,0.99791,1,0.995,0.98666,0.23869,0.20672,0.88155,0.000459767,0.000459767,0.000459767
91,170.714,0.33576,0.34421,0.93698,0.99793,1,0.995,0.97868,0.24978,0.19381,0.88402,0.000459315,0.000459315,0.000459315
92,172.44,0.33137,0.36333,0.94509,0.99796,1,0.995,0.97332,0.2397,0.20567,0.88871,0.000458863,0.000458863,0.000458863
93,174.143,0.34331,0.34197,0.93508,0.99795,1,0.995,0.9654,0.25879,0.21556,0.89824,0.000458411,0.000458411,0.000458411
94,176.029,0.33563,0.35133,0.94735,0.99793,1,0.995,0.97149,0.26571,0.23338,0.90488,0.000457959,0.000457959,0.000457959
95,177.838,0.36079,0.35668,0.94936,0.99797,1,0.995,0.96077,0.28144,0.21795,0.92931,0.000457507,0.000457507,0.000457507
96,179.512,0.33448,0.34578,0.9448,0.99798,1,0.995,0.98029,0.26539,0.20171,0.91464,0.000457055,0.000457055,0.000457055
97,181.274,0.38651,0.37306,0.98278,0.99801,1,0.995,0.98146,0.22263,0.19496,0.88683,0.000456603,0.000456603,0.000456603
98,183.101,0.32071,0.34345,0.91854,0.99803,1,0.995,0.986,0.21595,0.18512,0.88092,0.000456151,0.000456151,0.000456151
99,184.942,0.37793,0.36083,0.97214,0.99804,1,0.995,0.98823,0.22344,0.19353,0.88426,0.000455699,0.000455699,0.000455699
100,186.713,0.35937,0.36781,0.96903,0.99802,1,0.995,0.96843,0.26207,0.22507,0.90449,0.000455247,0.000455247,0.000455247
101,188.646,0.34973,0.36515,0.94777,0.9978,1,0.995,0.97336,0.25117,0.22223,0.89475,0.000454795,0.000454795,0.000454795
102,190.35,0.35021,0.35106,0.96598,0.99789,1,0.995,0.98159,0.2435,0.22728,0.8934,0.000454342,0.000454342,0.000454342
103,192.274,0.38497,0.37299,0.98427,0.99795,1,0.995,0.98157,0.23952,0.21096,0.8864,0.00045389,0.00045389,0.00045389
104,195.596,0.35985,0.36507,0.94122,0.99796,1,0.995,0.98222,0.2187,0.19314,0.87799,0.000453438,0.000453438,0.000453438
105,197.384,0.34676,0.34886,0.93644,0.99811,1,0.995,0.995,0.20129,0.18401,0.87105,0.000452986,0.000452986,0.000452986
106,199.172,0.33237,0.33993,0.93846,0.99807,1,0.995,0.995,0.20855,0.21891,0.87152,0.000452534,0.000452534,0.000452534
107,200.881,0.31459,0.33602,0.92821,0.99792,1,0.995,0.995,0.21721,0.21488,0.87064,0.000452082,0.000452082,0.000452082
108,202.672,0.31459,0.32205,0.93772,0.99801,1,0.995,0.97808,0.20868,0.18917,0.86703,0.00045163,0.00045163,0.00045163
109,204.297,0.34061,0.32369,0.94819,0.99804,1,0.995,0.96956,0.2449,0.21198,0.88448,0.000451178,0.000451178,0.000451178
110,206.1,0.35014,0.3397,0.95187,0.99797,1,0.995,0.98229,0.24015,0.19789,0.88443,0.000450726,0.000450726,0.000450726
111,207.824,0.33877,0.32381,0.96818,0.99795,1,0.995,0.98259,0.22902,0.20819,0.88664,0.000450274,0.000450274,0.000450274
112,209.497,0.35547,0.36828,0.95026,0.99799,1,0.995,0.97791,0.23247,0.18293,0.88061,0.000449822,0.000449822,0.000449822
113,211.124,0.30231,0.3191,0.9472,0.99805,1,0.995,0.98422,0.22767,0.19073,0.87371,0.00044937,0.00044937,0.00044937
114,212.932,0.36908,0.34099,0.94838,0.99808,1,0.995,0.98068,0.23128,0.19804,0.87696,0.000448918,0.000448918,0.000448918
115,214.725,0.36678,0.35487,0.9522,0.99802,1,0.995,0.97725,0.22411,0.21433,0.87784,0.000448466,0.000448466,0.000448466
116,216.374,0.34002,0.32579,0.939,0.99795,1,0.995,0.98206,0.21067,0.20851,0.87633,0.000448014,0.000448014,0.000448014
117,218.073,0.3621,0.35026,0.98105,0.99798,1,0.995,0.995,0.20032,0.18337,0.87104,0.000447562,0.000447562,0.000447562
118,219.789,0.31923,0.32146,0.93246,0.99795,1,0.995,0.995,0.20873,0.21588,0.87531,0.00044711,0.00044711,0.00044711
119,221.505,0.30524,0.30779,0.91608,0.99792,1,0.995,0.99052,0.21096,0.23176,0.88236,0.000446658,0.000446658,0.000446658
120,223.364,0.36019,0.32927,0.96078,1,0.99301,0.995,0.99033,0.23413,0.36477,0.89379,0.000446205,0.000446205,0.000446205
121,225.095,0.35177,0.32687,0.94597,0.99656,1,0.995,0.99111,0.21313,0.27103,0.88603,0.000445753,0.000445753,0.000445753
122,226.805,0.32133,0.32568,0.94275,0.99782,1,0.995,0.98211,0.21614,0.23345,0.88749,0.000445301,0.000445301,0.000445301
123,230.106,0.34002,0.31013,0.94542,0.99794,1,0.995,0.98146,0.22594,0.2244,0.88448,0.000444849,0.000444849,0.000444849
124,231.953,0.32271,0.31665,0.93214,0.998,1,0.995,0.98102,0.21874,0.20091,0.879,0.000444397,0.000444397,0.000444397
125,233.791,0.35702,0.34195,0.94521,0.99795,1,0.995,0.99216,0.21652,0.18355,0.87655,0.000443945,0.000443945,0.000443945
126,235.502,0.34243,0.32544,0.94461,0.998,1,0.995,0.98873,0.23214,0.19941,0.88345,0.000443493,0.000443493,0.000443493
127,237.128,0.32192,0.29682,0.92894,0.99797,1,0.995,0.98872,0.22461,0.20061,0.8766,0.000443041,0.000443041,0.000443041
128,238.807,0.33134,0.31895,0.94293,0.99797,1,0.995,0.99021,0.20893,0.20946,0.87101,0.000442589,0.000442589,0.000442589
129,240.441,0.36186,0.33182,0.98184,0.9979,1,0.995,0.98501,0.20201,0.20305,0.86555,0.000442137,0.000442137,0.000442137
130,242.161,0.34583,0.32901,0.9633,0.99788,1,0.995,0.99177,0.2043,0.20208,0.87011,0.000441685,0.000441685,0.000441685
131,243.969,0.38,0.35938,0.99086,0.9979,1,0.995,0.98,0.22894,0.20402,0.87892,0.000441233,0.000441233,0.000441233
132,245.927,0.32144,0.30691,0.92723,0.99789,1,0.995,0.97204,0.23774,0.18722,0.88701,0.000440781,0.000440781,0.000440781
133,247.947,0.32169,0.28682,0.93873,0.9979,1,0.995,0.97194,0.25737,0.20186,0.89933,0.000440329,0.000440329,0.000440329
134,249.678,0.33156,0.31998,0.94474,0.99778,1,0.995,0.96241,0.25004,0.21536,0.90253,0.000439877,0.000439877,0.000439877
135,251.365,0.3149,0.29961,0.94795,0.99793,1,0.995,0.93864,0.2522,0.23156,0.90472,0.000439425,0.000439425,0.000439425
136,253.138,0.31656,0.30322,0.9284,0.99795,1,0.995,0.95135,0.25112,0.22939,0.89845,0.000438973,0.000438973,0.000438973
137,254.909,0.33409,0.31,0.9538,0.99795,1,0.995,0.98386,0.23645,0.23328,0.8892,0.000438521,0.000438521,0.000438521
138,256.58,0.33846,0.31391,0.95273,0.99797,1,0.995,0.97716,0.20926,0.20688,0.87527,0.000438068,0.000438068,0.000438068
139,258.503,0.30179,0.29244,0.93158,0.998,1,0.995,0.98092,0.21995,0.19788,0.87547,0.000437616,0.000437616,0.000437616
140,260.236,0.33998,0.30121,0.9641,0.99799,1,0.995,0.98249,0.22406,0.20301,0.87977,0.000437164,0.000437164,0.000437164
141,263.629,0.31493,0.28912,0.93608,0.9979,1,0.995,0.97456,0.20982,0.18954,0.87238,0.000436712,0.000436712,0.000436712
142,265.387,0.3088,0.28726,0.93819,0.9979,1,0.995,0.99003,0.2094,0.17407,0.87367,0.00043626,0.00043626,0.00043626
143,267.18,0.32953,0.3079,0.94762,0.99803,1,0.995,0.99111,0.19771,0.19394,0.86846,0.000435808,0.000435808,0.000435808
144,268.933,0.3417,0.30234,0.94224,0.99797,1,0.995,0.98435,0.19271,0.20956,0.86714,0.000435356,0.000435356,0.000435356
145,270.753,0.34048,0.31004,0.9418,0.99798,1,0.995,0.98898,0.19821,0.20555,0.86741,0.000434904,0.000434904,0.000434904
146,272.457,0.33875,0.29065,0.94346,0.99798,1,0.995,0.995,0.19611,0.18023,0.87081,0.000434452,0.000434452,0.000434452
147,274.229,0.30675,0.28478,0.93149,0.99803,1,0.995,0.995,0.19284,0.18124,0.86837,0.000434,0.000434,0.000434
148,275.856,0.3299,0.29946,0.92958,0.99795,1,0.995,0.995,0.21722,0.1834,0.8835,0.000433548,0.000433548,0.000433548
149,277.563,0.31216,0.28866,0.93467,0.99797,1,0.995,0.98467,0.21901,0.18641,0.87645,0.000433096,0.000433096,0.000433096
150,279.337,0.3262,0.31083,0.94234,0.99796,1,0.995,0.98497,0.22611,0.20457,0.87988,0.000432644,0.000432644,0.000432644
151,281.146,0.317,0.27775,0.92496,0.99797,1,0.995,0.98361,0.20637,0.18518,0.88135,0.000432192,0.000432192,0.000432192
152,282.795,0.32197,0.3125,0.94013,0.99796,1,0.995,0.98424,0.22589,0.18427,0.8842,0.00043174,0.00043174,0.00043174
153,284.353,0.33381,0.29117,0.94544,0.99799,1,0.995,0.995,0.23034,0.18216,0.88629,0.000431288,0.000431288,0.000431288
154,286.089,0.33887,0.30166,0.94051,0.99803,1,0.995,0.995,0.19979,0.16362,0.87571,0.000430836,0.000430836,0.000430836
155,287.84,0.33071,0.29374,0.94367,0.99808,1,0.995,0.995,0.17384,0.14655,0.86406,0.000430384,0.000430384,0.000430384
156,289.71,0.3437,0.29285,0.96938,0.99808,1,0.995,0.98954,0.20189,0.15499,0.876,0.000429932,0.000429932,0.000429932
157,291.388,0.3122,0.29429,0.95575,0.998,1,0.995,0.98973,0.19368,0.15468,0.87004,0.000429479,0.000429479,0.000429479
158,293.117,0.32372,0.3016,0.94698,0.99802,1,0.995,0.98987,0.20511,0.15547,0.87124,0.000429027,0.000429027,0.000429027
159,294.829,0.31701,0.27972,0.94149,0.99797,1,0.995,0.995,0.22689,0.17335,0.87623,0.000428575,0.000428575,0.000428575
160,298.295,0.32396,0.28669,0.95417,0.99792,1,0.995,0.995,0.20445,0.16772,0.86684,0.000428123,0.000428123,0.000428123
161,300.069,0.3425,0.29136,0.96784,0.99788,1,0.995,0.995,0.20165,0.18509,0.86648,0.000427671,0.000427671,0.000427671
162,301.845,0.32723,0.28173,0.95351,0.99797,1,0.995,0.995,0.19597,0.17823,0.86875,0.000427219,0.000427219,0.000427219
163,303.513,0.34317,0.31638,0.95779,0.99799,1,0.995,0.995,0.18001,0.15858,0.86413,0.000426767,0.000426767,0.000426767
164,305.3,0.31186,0.28689,0.94644,0.998,1,0.995,0.98827,0.19607,0.1616,0.87384,0.000426315,0.000426315,0.000426315
165,307.047,0.32347,0.27824,0.94436,0.99805,1,0.995,0.99087,0.20811,0.15657,0.87682,0.000425863,0.000425863,0.000425863
166,308.788,0.29376,0.26918,0.91602,0.99798,1,0.995,0.99132,0.20531,0.16332,0.87195,0.000425411,0.000425411,0.000425411
167,310.531,0.29991,0.27546,0.93824,0.99798,1,0.995,0.995,0.19523,0.16333,0.86919,0.000424959,0.000424959,0.000424959
168,312.328,0.30245,0.28244,0.92087,0.99805,1,0.995,0.98529,0.21151,0.15778,0.88569,0.000424507,0.000424507,0.000424507
